Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
DEN,2025-03-28,18:00,Aalborg,Viborg,0.0,4.0,A,,,,2.7,3.43,2.53,2.85,3.54,2.63,,,1470.8,1515.8,-45.0,2986.7,0.0151,0,4,4,7,7,0.4444,0.2667,0.7778,0.4667,-3,-3,4,7,-3,12,12,0,0,1,1,0,0,0,0,3,35,4,4,2,-3,0.0,10,0.9,1.0,2.0,1.1,1.5,1.4,-0.2,1.0572,0.0556,0.0556,0.0395,0.1856,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
DEN,2025-03-30,13:00,Sonderjyske,Silkeborg,2.0,1.0,H,,,,3.68,3.6,1.96,3.91,3.7,2.0,,,1381.6,1575.1,-193.5,2956.7,0.0655,0,1,1,4,7,0.1111,0.0667,0.4444,0.4667,-3,-6,1,1,0,14,14,0,0,1,1,0,1,0,0,3,35,2,4,4,-8,0.16666666666666666,10,0.8,1.3,2.7,1.4,1.8,1.5,-0.6,1.0597,0.0625,0.0625,0.0204,0.0729,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
DEN,2025-03-30,17:00,Midtjylland,Brondby,0.0,2.0,A,,,,2.26,3.64,2.92,2.38,3.81,3.15,,,1732.6,1651.5,81.1,3384.1,0.024,0,9,12,2,6,1.0,0.8,0.2222,0.4,7,6,6,-2,8,14,14,0,0,1,1,0,0,0,0,3,35,2,7,1,-9,0.2,10,2.7,2.0,1.1,1.2,2.2,2.1,1.5,1.0597,0.0788,0.0531,0.0788,0.2872,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
DEN,2025-03-30,13:00,Lyngby,Vejle,1.0,2.0,A,,,,2.36,3.22,3.08,2.47,3.35,3.27,,,1473.1,1439.0,34.2,2912.1,0.0117,0,7,8,3,7,0.7778,0.5333,0.3333,0.4667,4,1,6,-1,7,14,14,0,0,1,1,0,1,0,0,3,35,1,4,5,-4,0.2,10,1.1,0.7,1.0,0.7,1.0,2.0,0.4,1.059,0.0617,0.0466,0.0617,0.2454,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
DEN,2025-03-30,15:00,Aarhus,Nordsjaelland,2.0,0.0,H,,,,2.0,3.53,3.63,2.1,3.66,3.9,,,1640.3,1672.0,-31.7,3312.3,0.0096,0,2,8,3,9,0.2222,0.5333,0.3333,0.6,-1,-1,-4,-3,-1,14,14,0,0,1,1,0,0,0,0,3,35,2,5,3,-9,0.2,10,2.2,2.5,0.9,0.7,1.4,2.4,1.5,1.0588,0.0744,0.05,0.0744,0.0827,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
DEN,2025-03-31,18:00,FC Copenhagen,Randers FC,1.0,0.0,H,,,,1.7,3.85,4.83,1.76,3.93,5.5,,,1724.9,1579.2,145.7,3304.1,0.0441,0,2,8,4,5,0.2222,0.5333,0.4444,0.3333,-2,3,-4,3,-7,15,15,0,0,0,0,0,0,0,0,3,35,6,1,3,13,0.5,10,2.4,2.2,0.8,1.4,1.6,1.3,1.0,1.055,0.1387,0.0353,0.1387,0.2183,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
DEN,2025-04-04,18:00,Randers FC,Midtjylland,2.0,1.0,H,,,,3.44,3.74,2.0,3.65,3.95,2.15,,,1574.1,1713.7,-139.5,3287.8,0.0424,0,3,5,6,9,0.3333,0.3333,0.6667,0.6,-3,-4,1,3,-2,4,5,-1,0,1,1,0,0,0,0,3,36,0,5,5,-7,0.0,10,1.3,1.7,1.3,1.6,1.7,1.2,-0.3,1.0581,0.075,0.061,0.075,0.1265,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
DEN,2025-04-06,17:00,Nordsjaelland,FC Copenhagen,0.0,1.0,A,,,,3.18,3.5,2.18,3.38,3.6,2.25,,,1658.2,1730.0,-71.8,3388.2,0.0212,0,3,6,4,8,0.3333,0.4,0.4444,0.5333,-1,-2,0,0,0,7,6,1,0,1,1,0,0,0,0,3,36,5,3,2,0,0.8333333333333334,10,2.4,2.3,1.1,1.6,1.5,1.1,0.8,1.0589,0.0629,0.0629,0.0321,0.2004,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
DEN,2025-04-06,13:00,Silkeborg,Lyngby,2.0,1.0,H,,,,1.69,3.88,4.76,1.75,4.0,5.12,,,1561.0,1461.0,100.0,3022.0,0.0331,0,1,7,6,8,0.1111,0.4667,0.6667,0.5333,-5,-1,-5,4,-9,7,7,0,0,1,1,0,1,0,0,3,36,3,4,3,4,0.6,10,1.0,1.3,1.4,0.9,0.8,1.5,0.1,1.0595,0.0756,0.0355,0.0756,0.1684,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
DEN,2025-04-06,15:00,Vejle,Aalborg,1.0,1.0,D,,,,2.24,3.53,3.03,2.32,3.65,3.25,,,1451.1,1451.0,0.1,2902.1,0.0,0,6,7,3,4,0.6667,0.4667,0.3333,0.2667,3,3,5,2,3,7,9,-2,-1,1,1,0,0,0,0,3,36,1,3,6,-2,0.0,10,0.9,1.2,2.1,1.2,1.4,1.7,-0.3,1.0597,0.0726,0.0357,0.0726,0.1783,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
